"ID","TOKEN","IS_PUNCT"
"398","Τῇ","FALSE"
"399","τετράδι","FALSE"
"400","καὶ","FALSE"
"401","εἰκάδι","FALSE"
"402","τοῦ","FALSE"
"403","μηνὸς","FALSE"
"404","τοῦ","FALSE"
"405","ἕκτου","FALSE"
"406","τῷ","FALSE"
"407","δευτέρῳ","FALSE"
"408","ἔτει","FALSE"
"409","ἐπὶ","FALSE"
"410","Δαρίου","FALSE"
"411","τοῦ","FALSE"
"412","βασιλέως","FALSE"
"413","τῷ","FALSE"
"414","μηνὶ","FALSE"
"415","τῷ","FALSE"
"416","ἑβδόμῳ","FALSE"
"417","μιᾷ","FALSE"
"418","καὶ","FALSE"
"419","εἰκάδι","FALSE"
"420","τοῦ","FALSE"
"421","μηνὸς","FALSE"
"422","ἐλάλησεν","FALSE"
"423","Κύριος","FALSE"
"424","ἐν","FALSE"
"425","χειρὶ","FALSE"
"426","Ἀγγαίου","FALSE"
"427","τοῦ","FALSE"
"428","προφήτου","FALSE"
"429","λέγων","FALSE"
"430","Εἰπὸν","FALSE"
"431","δὴ","FALSE"
"432","πρὸς","FALSE"
"433","Ζοροβάβελ","FALSE"
"434","τὸν","FALSE"
"435","Σαλαθιὴλ","FALSE"
"436","ἐκ","FALSE"
"437","φυλῆς","FALSE"
"438","Ἰούδα","FALSE"
"439","καὶ","FALSE"
"440","πρὸς","FALSE"
"441","Ἰησοῦν","FALSE"
"442","τὸν","FALSE"
"443","τοῦ","FALSE"
"444","Ἰωσεδὲκ","FALSE"
"445","τὸν","FALSE"
"446","ἱερέα","FALSE"
"447","τὸν","FALSE"
"448","μέγαν","FALSE"
"449","καὶ","FALSE"
"450","πρὸς","FALSE"
"451","πάντας","FALSE"
"452","τοὺς","FALSE"
"453","καταλοίπους","FALSE"
"454","τοῦ","FALSE"
"455","λαοῦ","FALSE"
"456","λέγων","FALSE"
"457","Τίς","FALSE"
"458","ἐξ","FALSE"
"459","ὑμῶν","FALSE"
"460","ὃς","FALSE"
"461","εἶδεν","FALSE"
"462","τὸν","FALSE"
"463","οἶκον","FALSE"
"464","τοῦτον","FALSE"
