"ID","TOKEN","IS_PUNCT"
"659","Ὡς","FALSE"
"660","δὲ","FALSE"
"661","ἐκάθισεν","FALSE"
"662",",","TRUE"
"663","Ὀλυμπιὰς","FALSE"
"664","εἶπεν","FALSE"
"665","·","TRUE"
"666","Σὺ","FALSE"
"667","τυγχάνεις","FALSE"
"668","Αἰγύπτιος","FALSE"
"669","ἀληθινός","FALSE"
"670",";","TRUE"
"671","Νεκτανεβὼς","FALSE"
"672","εἶπεν","FALSE"
"673","·","TRUE"
"674","Ὡς","FALSE"
"675","οἱ","FALSE"
"676","δοκιμάσαντες","FALSE"
"677","λέγουσιν","FALSE"
"678",".","TRUE"
"679","Ἡ","FALSE"
"680","δὲ","FALSE"
"681","εἶπεν","FALSE"
"682","·","TRUE"
"683","Ποίᾳ","FALSE"
"684","σκέψει","FALSE"
"685","χρώμενος","FALSE"
"686","τὸ","FALSE"
"687","ἀληθὲς","FALSE"
"688","ἀπαγγέλλεις","FALSE"
"689",";","TRUE"
"690","Ὁ","FALSE"
"691","δὲ","FALSE"
"692","εἶπεν","FALSE"
"693","·","TRUE"
"694","Καλῶς","FALSE"
"695","ἀπεφήνω","FALSE"
"696","ὦ","FALSE"
"697","βασίλισσα","FALSE"
"698","·","TRUE"
"699","πολυσχιδὴς","FALSE"
"700","γάρ","FALSE"
"701","ἐστι","FALSE"
"702","τῆς","FALSE"
"703","σκέψεως","FALSE"
"704","ἡ","FALSE"
"705","κρίσις","FALSE"
"706","·","TRUE"
"707","εἰσὶ","FALSE"
"708","γὰρ","FALSE"
"709","ὀνειροκρίται","FALSE"
"710","σημειολύται","FALSE"
"711","ὀρνεοσκόποι","FALSE"
"712","μάντεις","FALSE"
"713","ἀμουμάντεις","FALSE"
"714","γενεθλιαλόγοι","FALSE"
"715","μάγοι","FALSE"
"716","ἀστρολόγοι","FALSE"
"717",".","TRUE"
"718","ἐγὼ","FALSE"
"719","οὖν","FALSE"
"720","πάντων","FALSE"
"721","τούτων","FALSE"
"722","ἐφαπτόμενος","FALSE"
"723",",","TRUE"
"724","κατ","FALSE"
"725","´","FALSE"
"726","ἐξοχὴν","FALSE"
"727","προφήτης","FALSE"
"728","ὢν","FALSE"
"729","Αἰγύπτιος","FALSE"
"730",",","TRUE"
"731","καὶ","FALSE"
"732","μάγος","FALSE"
"733","εἰμὶ","FALSE"
"734","καὶ","FALSE"
"735","ἀστρολόγος","FALSE"
"736",".","TRUE"
"737","Καὶ","FALSE"
"738","ταῦτα","FALSE"
"739","λέγων","FALSE"
"740","δριμύτατον","FALSE"
"741","αὐτῇ","FALSE"
"742","ἔβλεψεν","FALSE"
"743",",","TRUE"
"744","ἥτις","FALSE"
"745","σημειωσαμένη","FALSE"
"746","τὸ","FALSE"
"747","βλέμμα","FALSE"
"748","εἶπε","FALSE"
"749","·","TRUE"
"750","Τί","FALSE"
"751","λογιζόμενος","FALSE"
"752",",","TRUE"
"753","προφῆτα","FALSE"
"754","κατ","FALSE"
"755","´","FALSE"
"756","ἐξοχήν","FALSE"
"757",",","TRUE"
"758","περιέργως","FALSE"
"759","οὕτως","FALSE"
"760","μοι","FALSE"
"761","ἀπέβλεψας","FALSE"
"762",";","TRUE"
"763","Νεκτανεβὼς","FALSE"
"764","εἶπεν","FALSE"
"765","·","TRUE"
"766","Ὑπομνησθεὶς","FALSE"
"767","χρησμοῦ","FALSE"
"768","βασίλισσα","FALSE"
"769","·","TRUE"
"770","ἤκουσα","FALSE"
"771","γὰρ","FALSE"
"772","ὑπὸ","FALSE"
"773","τῶν","FALSE"
"774","ἰδίων","FALSE"
"775","θεῶν","FALSE"
"776","ποτε","FALSE"
"777",",","TRUE"
"778","ὅτι","FALSE"
"779","βασιλίδι","FALSE"
"780","σε","FALSE"
"781","δεῖ","FALSE"
"782","σκέψασθαι","FALSE"
"783","καὶ","FALSE"
"784","ἅπερ","FALSE"
"785","λέγεις","FALSE"
"786","ἀληθῆ","FALSE"
"787","εὑρεθῆναι","FALSE"
"788",".","TRUE"
"789","Ἅμα","FALSE"
