"ID","TOKEN","IS_PUNCT"
"446","Ταῦτα","FALSE"
"447","μὲν","FALSE"
"448","οὐκ","FALSE"
"449","οἶδα","FALSE"
"450","πῶς","FALSE"
"451","λέγεις","FALSE"
"452","·","TRUE"
"453","ἐγὼ","FALSE"
"454","δὲ","FALSE"
"455","πολλοὺς","FALSE"
"456","ἤδη","FALSE"
"457","σολοικίζοντας","FALSE"
"458","κατενόησα","FALSE"
"459",".","TRUE"
"460","Λυκῖνος","FALSE"
"461","Κἀμὲ","FALSE"
"462","τοίνυν","FALSE"
"463","εἴσῃ","FALSE"
"464","τότε","FALSE"
"465",",","TRUE"
"466","ὅταν","FALSE"
"467","τι","FALSE"
"468","τῶν","FALSE"
"469","παιδίων","FALSE"
"470","γένῃ","FALSE"
"471","τῶν","FALSE"
"472","τὰς","FALSE"
"473","τίτθας","FALSE"
"474","θηλαζόντων","FALSE"
"475",".","TRUE"
"476","ἢ","FALSE"
"477","εἰ","FALSE"
"478","οὐ","FALSE"
"479","νῦν","FALSE"
"480","ἔγνως","FALSE"
"481","σολοικίζοντά","FALSE"
"482","με","FALSE"
"483",",","TRUE"
"484","οὐδὲ","FALSE"
"485","αὐξάνοντα","FALSE"
"486","παιδία","FALSE"
"487","σολοικισμὸν","FALSE"
"488","ποιήσει","FALSE"
"489","τῷ","FALSE"
"490","μηδὲν","FALSE"
"491","εἰδότι","FALSE"
"492",".","TRUE"
"493","σολοικιστής","FALSE"
"494","Ἀληθῆ","FALSE"
"495","λέγεις","FALSE"
"496",".","TRUE"
"497","Λυκῖνος","FALSE"
"498","Καὶ","FALSE"
"499","μὴν","FALSE"
"500","εἰ","FALSE"
"501","ταῦτα","FALSE"
"502","ἀγνοήσομεν","FALSE"
"503",",","TRUE"
"504","οὐδὲν","FALSE"
"505","γνωσόμεθα","FALSE"
"506","τῶν","FALSE"
"507","ἑαυτῶν","FALSE"
"508",",","TRUE"
"509","ἐπεὶ","FALSE"
"510","καὶ","FALSE"
"511","τόδε","FALSE"
"512","σολοικισθὲν","FALSE"
"513","ἀπέφυγέ","FALSE"
"514","σε","FALSE"
"515",".","TRUE"
"516","μὴ","FALSE"
"517","τοίνυν","FALSE"
"518","ἔτι","FALSE"
"519","λέγειν","FALSE"
"520",",","TRUE"
"521","ὡς","FALSE"
"522","ἱκανὸς","FALSE"
"523","εἶ","FALSE"
"524","κατιδεῖν","FALSE"
"525","τὸν","FALSE"
"526","σολοικίζοντα","FALSE"
"527",",","TRUE"
"528","καὶ","FALSE"
"529","αὐτὸς","FALSE"
"530","μὴ","FALSE"
"531","σολοικίζειν","FALSE"
"532",".","TRUE"
"533","κἀ","FALSE"
"534","γὼ","FALSE"
"535","μὲν","FALSE"
"536","οὕτως","FALSE"
"537",".","TRUE"
"538","Σωκράτης","FALSE"
"539","δὲ","FALSE"
"540","ὁ","FALSE"
"541","ἀπὸ","FALSE"
"542","Μόψου","FALSE"
"543",",","TRUE"
"544","ᾧ","FALSE"
"545","συνεγενόμην","FALSE"
"546","ἐν","FALSE"
"547","Αἰγύπτῳ","FALSE"
"548",",","TRUE"
"549","τὰ","FALSE"
"550","τοιαῦτα","FALSE"
"551","ἔλεγεν","FALSE"
"552","ἀνεπαχθῶς","FALSE"
"553","καὶ","FALSE"
"554","οὐκ","FALSE"
"555","ἤλεγχε","FALSE"
"556","τὸν","FALSE"
"557","ἁμαρτάνοντα","FALSE"
"558",".","TRUE"
"559","πρὸς","FALSE"
"560","μέντοι","FALSE"
"561","γε","FALSE"
"562","τὸν","FALSE"
"563","ἐρωτήσαντα","FALSE"
"564","πηνίκα","FALSE"
"565","ἔξεισι","FALSE"
"566",";","TRUE"
"567","Τίς","FALSE"
"568","γὰρ","FALSE"
"569","ἄν","FALSE"
"570",",","TRUE"
"571","ἔφη","FALSE"
"572",",","TRUE"
"573","ἀποκριθείη","FALSE"
"574","σοι","FALSE"
"575","περὶ","FALSE"
"576","τῆς","FALSE"
"577","τήμερον","FALSE"
"578","ὡς","FALSE"
"579","ἐξιών","FALSE"
"580",";","TRUE"
"581","ἑτέρου","FALSE"
"582","δὲ","FALSE"
"583","φήσαντος","FALSE"
"584",",","TRUE"
"585","Ἱκανὰ","FALSE"
"586","ἔχω","FALSE"
"587","τὰ","FALSE"
"588","πατρῷα","FALSE"
"589",",","TRUE"
"590","Πῶς","FALSE"
"591","φής","FALSE"
"592",";","TRUE"
"593","εἶπε","FALSE"
"594","·","TRUE"
"595","τέθνηκε","FALSE"
"596","γὰρ","FALSE"
"597","ὁ","FALSE"
"598","πατήρ","FALSE"
"599","σοι","FALSE"
"600",";","TRUE"
"601","ἄλλου","FALSE"
"602","δὲ","FALSE"
"603","αὖθις","FALSE"
"604","λέγοντος","FALSE"
"605",",","TRUE"
